Ruler,Alternative Names,Birth,Death,Reign_Begin,Reign_End,"State, Ruled",Capital of State Ruled,"State, Contemporary",Latitude,Longitude,Position,Title,Description,Image,Image Repository,Repository Link
Countess Amalie Elisabeth of Hanau-Münzenberg,,1602,1651,1637,1650,Hesse-Kassel,Kassel,"Kassel, Germany",51.31367,9.48619,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Amalie_Elisabeth_von_Hanau-M%C3%BCnzenberg_%281602%E2%80%931651%29.jpg/800px-Amalie_Elisabeth_von_Hanau-M%C3%BCnzenberg_%281602%E2%80%931651%29.jpg,National Trust Collections,https://www.nationaltrustcollections.org.uk/object/493053
Countess Catharina Belgica of Nassau,,1578,1648,1612,1626,Hanau-Münzenberg,Hanau,"Hanau, Germany",50.12584,8.92764,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Portrait_of_a_Woman%2C_Jan_Anthonisz._van_Ravesteyn_%281617%29.jpg/800px-Portrait_of_a_Woman%2C_Jan_Anthonisz._van_Ravesteyn_%281617%29.jpg,The Hague,https://www.mauritshuis.nl/en/our-collection/artworks/119-portrait-of-catharina-belgica-1578-1648/
Countess Elisabeth of Nassau,Elisabeth Flandrika,1577,1642,"1623
1626
1632","1623
1626
1632",Sedan,Sedan,"Sedan, France",49.70242,4.94867,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Elisabethofnassau.jpg,,
Countess Henriette Catherine of Nassau,,1637,1708,1693,1698,Anhalt-Dessau,Dessau,"Dessau, Germany",51.83106,12.24281,Regent,Princess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Jugendbildnis_der_Prinzessin_Henriette_Katharina_von_Nassau-Oranien_%28Mytens%29.jpg/528px-Jugendbildnis_der_Prinzessin_Henriette_Katharina_von_Nassau-Oranien_%28Mytens%29.jpg?20170107194249,Schloss Mosigkau,
Countess Louise Juliana of Nassau,,1576,1644,1610,1614,,Heidelberg,"Heidelberg, Germany",49.40945,8.69479,Regent,Eletress Palatine,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Luise_Juliana_von_Oranien-NassauJohannHogenberg.jpg/611px-Luise_Juliana_von_Oranien-NassauJohannHogenberg.jpg?20150425094659,Österreichische Nationalbibliothek,https://onb.digital/result/BAG_5294138
Dadi Jawari,Malika Jawahir Khatun,,,"1630
1689","1660
1705",Gilgit,Gilgit,"Gilgit, Pakistan",35.88318,74.45944,Ruler,Ruler,,,,
Eleanor de' Medici,Eleonora,1567,1611,"1595
1597
1601","1595
1597
1601",Mantua,Mantua,"Mantua, Italy",45.15514,10.79063,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Studio_of_Frans_Pourbus_II_Eleanor_de%27_Medici_Duchess_of_Mantua.jpg/666px-Studio_of_Frans_Pourbus_II_Eleanor_de%27_Medici_Duchess_of_Mantua.jpg?20130613021917,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Studio_of_Frans_Pourbus_II_Eleanor_de%27_Medici_Duchess_of_Mantua.jpg
Elisabeta Movilă,,,,"1607
1615","1611
1616",Moldavia,Iași,"Iași, Romania",47.15638,27.59566,Regent,Princess Consort,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Elisabeta_Movil%C4%83.jpg?20160313014407,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Elisabeta_Movil%C4%83.jpg
Elisabeth Dorothea of Saxe-Gotha-Altenburg,,1640,1709,1678,1688,Hesse-Darmstadt,Darmstadt,"Darmstadt, Germany",49.87404,8.65381,Regent,Landgravine,,https://upload.wikimedia.org/wikipedia/commons/1/14/ElisaDoroSaGoHeDa.JPG?20170108182344,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:ElisaDoroSaGoHeDa.JPG
Elisabeth of France (1602–1644),Isabella of Bourbon,1602,1644,1640,1644,Spain and Portugal,Madrid,Spain and Portugal,40.4168,3.7038,Regent,Queen of Spain and Portugal,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Rodrigo_de_Villandrando_-_Isabel_of_France_-_WGA25100.jpg/644px-Rodrigo_de_Villandrando_-_Isabel_of_France_-_WGA25100.jpg?20150317045039,Museo del Prado,https://www.museodelprado.es/coleccion/obra-de-arte/isabel-de-borbon-reina-de-espaa-primera-esposa-de/88fa4d66-3089-40b2-a9f8-d7f97587d266
Elizabeth I,,1533,1603,1558,1603,England and Ireland,London,England and Ireland,51.5072,0.1276,Queen,Queen,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Darnley_stage_3.jpg/615px-Darnley_stage_3.jpg?20080831215816,National Portrait Gallery,https://artuk.org/discover/artworks/queen-elizabeth-i-158377
"Elizabeth Lucretia, Duchess of Cieszyn",Elisabeth Lukretia von Teschen; Elżbieta Lukrecja Cieszyńska; Alžběta Lukrécie Těšínská,1599,1653,1625,1653,Cieszyn,Cieszyn,"Cieszyn, Poland",49.74823,18.62943,Duchess,Duchess,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Elisabeth_Lucretia_of_Teschen.jpg?20200224115649,Münzkabinett der Staatlichen Museen zu Berlin,https://ikmk.smb.museum/object?lang=en&id=18239655
"Elizabeth of Denmark, Duchess of Brunswick-Wolfenbüttel",,1573,1625,1616,1622,Brunswick-Lüneburg,Brunswick,"Brunswich, Germany",52.26501,10.52318,Regent,Duchess Consort,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Elizabeth_of_Denmark%2C_Duchess_of_Brunswick-Wolfenb%C3%BCttel.jpg/693px-Elizabeth_of_Denmark%2C_Duchess_of_Brunswick-Wolfenb%C3%BCttel.jpg?20190323010247,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Elizabeth_of_Denmark,_Duchess_of_Brunswick-Wolfenb%C3%BCttel.jpg"
Emilie of Oldenburg-Delmenhorst,,1614,1670,1646,1662,Schwarzburg-Rudolstadt,Rudolstadt,"Rudolstadt, Germany",50.71693,11.33243,Regent,Princess Consort,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Emilie_Antonia_von_Oldenburg-Delmenhorst_%281614-1670%29.jpg?20181104182044,,
Empress Meishō,,1624,1696,1629,1643,Japan,Kyoto,Japan,35.0116,135.7681,Empress Regnant,Empress Regnant,,https://upload.wikimedia.org/wikipedia/commons/d/df/Meisho_of_Japan.jpg?20151118155429,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Meisho_of_Japan.jpg
Erketü Qatun,Sanniangzi,1551,1612,1582,1612,Tümed,N/A,"China, Mongolia",38.50372,97.94966,Regent of the Tümed,Erketü Qatun,,,,
Ernestine of Sayn-Wittgenstein,Ernestine Salentine,1626,1661,1648,1661,Sayn-Wittgenstein-Hachenburg,Hachenburg,"Hachenburg, Germany",50.65825,7.8201,Sovereign Countess,Sovereign Countess,,,,
Fatima Soltan,,,1681,1679,1681,Qasim Khanate,Kasimov,"Kasimov, Russia",54.94446,41.39175,Queen,Queen,,,,
Gao Guiying,,,1647,1644,,Pe-ching,Beijing,China,39.90402,116.4074,Empress,Empress,,,,
Hayat Bakshi Begum,,,1667,1626,?,Golconda Sultanate,Hyderabad,"Hyderabad, India",17.40992,78.44623,Regent,Royal Consort,,,,
Hedwig Eleonora of Holstein-Gottorp,,1636,1715,"1660
1697
1713","1672
1697
1713",Sweden,Stockholm,"Stockholm, Sweden",59.32735,18.0681,Queen Regent,Queen,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Hedvig_Eleonora%2C_1636-1715%2C_drottning_av_Sverige%2C_prinsessa_av_Holstein-Gottorp_%28Nicolas_Vallari%29_-_Nationalmuseum_-_40112.tif/lossy-page1-676px-Hedvig_Eleonora%2C_1636-1715%2C_drottning_av_Sverige%2C_prinsessa_av_Holstein-Gottorp_%28Nicolas_Vallari%29_-_Nationalmuseum_-_40112.tif.jpg?20161008081244,Nationalmuseum Sweden,http://emp-web-84.zetcom.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=40112&viewType=detailView
Henriette of Cleves,,1542,1601,1564,1601,"Nevers, Rethel",Nevers,"Nevers, France",46.99058,3.16057,Duchess,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Henriette_de_Nevers.jpg/643px-Henriette_de_Nevers.jpg?20210806201051,Government Art Collection,https://artcollection.culture.gov.uk/artwork/1898/
Inayat Zakiatuddin Syah,Puteri Raja Setia,1645,1688,1678,1688,Acèh Darussalam,Banda Aceh,"Aceh, Indonesia",5.54898,95.31554,Sultana Regnant,Sultana Regnant,,,,
Ippolita Ludovisi,,1663,1733,1701,1733,Piombino,Piombino,"Piombino, Italy",42.92526,10.52649,Princess of Piombino,Princess,,,,
Isabella Appiani,,1557,1661,1611,1628,Piombino,Piombino,"Piombino, Italy",42.92526,10.52649,Princess of Piombino,Princess,,,,
Isabella Clara Eugenia,Isabel Clara Eugenia; Clara Isabella Eugenia,1566,1633,"1598
1621","1621
1633",Spanish Netherlands,Brussels,"Brussels, Belgium",50.8481,4.35347,Sovereign,Sovereign,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Frans_Pourbus_II_-_Isabella_Clara_Eugenia.jpg/654px-Frans_Pourbus_II_-_Isabella_Clara_Eugenia.jpg?20130126022204,Isabella Stewart Gardner Museum,https://www.gardnermuseum.org/experience/collection/10951
Isabella Gonzaga,Isabella Gonzaga di Novellara,1576,1630,1605,1613,San Martino dall'Argine,San Martino dall'Argine,"San Martino dall'Argine, Italy",45.0948,10.51595,Regent,Duchess Consort,,,,
Johannetta of Sayn-Wittgenstein (1632–1701),,1632,1701,1648,1701,Sayn-Wittgenstein-Sayn-Altenkirchen,Sayn-Altenkirchen,"Saynstraße, Altenkirchen, Germany",50.68705,7.64723,Sovereign Countess,"Sovereign Countess, Landgrave, Duchess Consort",,,,
Juliana of Hesse-Darmstadt,,1606,1659,1648,1651,East Frisia,,"East Frisia, Ostfriesland, Germany",53.47652,7.52989,Regent,Countess,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Julianeostf.jpg?20061230142646,Wikimedia Commons,https://en.wikipedia.org/wiki/Juliana_of_Hesse-Darmstadt
Kaikilani,,,,,,Hawai'i,,"Hawai'i, USA",19.54412,-155.67029,Aliʻi Nui,Aliʻi Nui,,,,
Kalanikauleleiaiwi,,,,,,Hawai'i,,"Hawai'i, USA",19.54412,-155.67029,Chiefess,Chiefess,,,,
Keakamahana,,1615,1665,1635,1665,Hawai'i,Hōlualoa Bay,"Hawai'i, USA",19.60657,-155.9764,Chiefess,Chiefess,,,,
Keākealaniwahine,,1640,1695,1665,1695,Hawai'i,,"Hawai'i, USA",19.54412,-155.67029,Aliʻi Nui,Aliʻi Nui,,,,
Keladi Chennamma,,,1696,1677,1696,Keladi Kingdom,Sagara,"Sagar, Karnataka, India",14.16867,75.03147,Queen,Queen,,,,
Ketevan the Martyr,,1560,1624,1605,1614,Kakheti,,"Kakheti, Georgia",41.64449,45.94512,Regent,Queen,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Catharina_Georgiae_Regina.jpg/570px-Catharina_Georgiae_Regina.jpg?20210211204444,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Catharina_Georgiae_Regina.jpg
Khadija Sultana,,1600,after 1665,1656,1661,Bijapur Sultanate,Bijapur,"Vijayapura, Karnataka, India",16.82913,75.71722,Regent,Bari Sahiba,,,,
Kösem Sultan,Mahpeyker Sultan,1589,1651,"1623
1640
1648","1632
1647
1651",Ottoman Empire,Constantinople,"Istanbul, Turkey",41.0082,28.9784,Regent,"Haseki Sultan, Valide Sultan",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/K%C3%B6sem_portrait_%28cropped%29.jpg/554px-K%C3%B6sem_portrait_%28cropped%29.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:K%C3%B6sem_portrait_(cropped).jpg
Kuda Kala Kamanafaanu,,,1609,1607,1609,Maldives,Malé,Maldives,4.1755,73.5093,Sultana Regnant,Sultana Regnant,,,,
Laura Martinozzi,,1639,1687,1662,1674,Modena,Modena,"Modena, Italy",44.6468,10.92595,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Laura_Martinozzi_duchessa_Modena.jpg?20151008231901,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Laura_Martinozzi_duchessa_Modena.jpg
Lingeer Ngoné Dièye,"Ngoone Jaay, Ngoneh Jaay",,,1697,1697,Cayor and Baol,Mboul,"Mboul, Senegal",14.74869,-17.09725,Lingeer,Lingeer,,,,
Louise Juliane of Erbach,,1603,1670,1632,1652,Sayn-Wittegenstein-Sayn,Hachenburg,"Hachenburg, Germany",50.6591,7.82411,Regent,Countess,,,,
Luisa de Guzmán,Luísa Maria Francisca de Gusmão,1613,1666,1656,1662,Portugal,Lisbon,Portugal,38.71359,-9.13722,Queen Consort,Regent,,https://upload.wikimedia.org/wikipedia/commons/e/e9/Luisa_Francisca_de_Guzm%C3%A1n_y_Medina_Sidonia_atribuible_a_Alonso_Cano.png?20141201204852,Museo Lázara Galdiano,https://museolazarogaldiano.blog/2013/07/25/revista-goya-343-resumenes-abstracts-imagenes/
Magdalena Sibylla of Hesse-Darmstadt,,1652,1712,1677,1693,Württemberg,Stuttgart,"Stuttgart, Germany",48.78212,9.26864,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/109Magdalena_Sibylla.jpg/470px-109Magdalena_Sibylla.jpg?20090413093423,museum-digital,https://bawue.museum-digital.de/index.php?t=objekt&oges=243
Mangammal,Rani Mangammal; Mangamma,,1705,1689,1704,Madurai Nayak,Madurai,"Madurai, India",9.91997,78.11941,Regent,Queen Regent,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Queen_Mangammal.jpg?20130216145224,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Queen_Mangammal.jpg
Margaret Elisabeth of Leiningen-Westerburg,,1604,1667,1638,1648,Hesse-Homburg,Homburg,"Homburg, Germany",49.31987,7.34252,Regent,Countess,,,,
"Margaret of Savoy, Vicereine of Portugal",,1589,1655,1612,1627,Mantua,Mantua,"Mantua, Italy",45.15514,10.79063,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Portrait_of_Margaret_of_Savoy.jpg/800px-Portrait_of_Margaret_of_Savoy.jpg,artnet,http://www.artnet.com/artists/jan-kraek/portrait-of-margaret-of-savoy-U5drjMsqgK2bNVt3MwJXnw2
Margherita Aldobrandini,,1588,1646,1626,1628,Parma and Piacenza,Parma,"Parma, Italy",44.80316,10.32651,Regent,Duchess,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Margarita_Aldobrandini%2C_Duchess_of_Parma_by_Bartolome_Gonzalez%2C_held_in_the_Hermitage_collection.jpg/800px-Margarita_Aldobrandini%2C_Duchess_of_Parma_by_Bartolome_Gonzalez%2C_held_in_the_Hermitage_collection.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Margarita_Aldobrandini,_Duchess_of_Parma_by_Bartolome_Gonzalez,_held_in_the_Hermitage_collection.jpg"
