PlaceName,PlaceNameModern,Latitude,Longitude,NameOfTraveler,YearOfTravel,Description,Citation,Hyperlink
Cambaia,"Khambhat, India",22.3181,72.619,Lewes Vertomannus,1503,"En-tryng therefore into India, we came to a certaine porte, which the great and famous ryuer Indus passeth by, and is not far from the citie of Cambaia. It is situate three myles within the lande, towarde the South. The Brigantines or foystes can haue no accesse to it, excepte the fludde ryse hygher then commonly it is woont to do, which sometymes ouerfloweth the lande the space of foure myles. But heere the fluddes haue contrarye courses of increasyng, for heere they increase in the wane of the Moone, but with vs in the full Moone. The citie is walled after our maner, and aboundeth with al necessarie thynges, especially with wheate, and al sorts of holesome and pleasaunt fruites.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 1. ",https://archive.org/details/historyoftrauayl00angh
Veull,"Chaul, India",18.5461,72.9272,Lewes Vertomannus,1503,"DEPARTYNG from Cambia, in twelue dayes iorney I came to a citie named Ceull: the land that lieth betweene them both is called Guzerat...the citie hath walles, and is distant from the sea but three myles. A fayre ryuer runneth by the citie, by the whiche much merchandies is brought thyther. The soyle beareth al-most all maner of fruites, except Vynes, Walnuttes, and Chest-nuttes.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Pg. 382. ",https://archive.org/details/historyoftrauayl00angh
Dabuly,"Dabhol, India",17.5873,73.1748,Lewes Vertomannus,1503,"Two dayes iorney from hence, is a citie named Dabuly, hauyng a great ryuer runnyng by it. It hath walles after the maner of ours. The soyle is fruiteful, and the citie beautifull.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Pg. 383. ",https://archive.org/details/historyoftrauayl00angh
Dechan,"Vijayapura, Karnataka, India",16.8302,75.71,Lewes Vertomannus,1503,"This citie is beautifull in syght, and the soyle very fruite-full and plentifull in maner of all thynges necessarie... The citie is beautified with a marueylous fayre pallace, and the pallace adourned with many fayre roomes, for before you come to the kinges chamber, you must passe by .xliiii. other cham-bers, for the sollers of the chambers are so orderly disposed, that one chamber styll geueth entrye into an other, vntyll you come to the last. The citie is compassed with a wal, after the maner of the Christians. The houses are not vncomely.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 5. Pg. 383. ",https://archive.org/details/historyoftrauayl00angh
Bisinagar,"Vijayanagara, India",12.9756,77.5354,Lewes Vertomannus,1503,"THe citie of Bisinager is vnder the dominion of the kyng of Narsinga, and subiect to hym. The citie is very large and well walled, situate on the syde of a hyll, and eyght myles in circuite. It is compassed with a triple wall, and is a famous mart of all sortes of ryche merchaundise. The soyle is marueylous fruitefull, and hath whatsoeuer pertayneth to delicates and pleasures. There is no lande more commodi-ous for haukyng and huntyng, for it hath large playnes and goodly woods: a man would saye it were an earthly Paradyse.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 8. ",https://archive.org/details/historyoftrauayl00angh
Calecut,"Kozhikode, Kerala, India",11.22588,75.7804,Lewes Vertomannus,1503,"THE citie of Calecut, is situate vppon the continent or firme lande, and the sea beateth uppon the houses of the citie. There is no porte : but on the South syde about a myle from the citie, is a ryuer which runneth into the ocean sea by a narrow mouth. This runneth by many braunches into the playne feeldes, and is of the inhabitantes by diuers trenches dispearsed to water the grounde. It is not past the depth of three or foure foote of water. The course of it bendeth towarde the citie, and runneth into it. The citie is not compassed with walles, but conteyneth in circuite sixe thousande houses, not adherent or ioynyng togeather after the maner of ours, but by a certayne space distant one from the other, eyther for feare of fyre, or by ignorance of the builders. It is a myle of length. The houses are despicable, as no hygher from the grounde then a man on horsebacke, and are for the most parte couered with boughes of trees, in the steede of tiles or other coueryng. The cause where-of they say to bee, that in digging the grounde fyue or syxe hand-full depth, water immediately issueth foorth. And therefore they can laye no deeper foundations to beare the weyght of any greater buyldyngs.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 1. ",https://archive.org/details/historyoftrauayl00angh
The Palace of the King of Calecut,"Kozhikode, Kerala, India",11.22588,75.7804,Lewes Vertomannus,1503,"THe Palace of the kyng of Calecut conteyneth no lesse than a myle in circuite, the wall is not hygh, the buylding is fayre, with beames or postes wel ioynyng the frame, and curiously wrought and carued with the figures & shapes of deuyls on euery syde. Why the walles be no hygher we haue declared before, where we haue spoken of the lowe buyldyng of the houses of the citie : the cause wherof (as we haue saide) is the vnstable grounde, so ful of water, that they can dygge no deapth to lay fundation to beare hygher buyldynges.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 12. Pg. 392. ",https://archive.org/details/historyoftrauayl00angh
Caicolon,"Kayamkulam, India",9.172,76.501,Lewes Vertomannus,1503,"...came to a citie named Caicolon, distaunte from the citie of Calecut fiftie leagues: the inhabitantes are idolaters. There is great aboundance of merchaundies, and great fre-quentation. of merchauntes : the soyle beareth of the best kynde of pepper. The kyng of the citie is not very rych. In apparel and maners, they differ little from them of Calecut.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 1. Pg. 397. ",https://archive.org/details/historyoftrauayl00angh
Colon,"Kollam, India",8.8932,76.6141,Lewes Vertomannus,1503,"Departyng from thence, in the space of three dayes iorney we came to an other citie, named Colon, about twentie myles distant from the aforesayde. The kyng is an idolater, and a prince of great pow-er, hauyng euer an armie of twentie thousande horsemen : there is a very fayre port. Neare to the sea syde the soyle beareth no corne, yet greate aboundance of fruite and pepper, as in the citie of Calecut...","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 1. Pg. 397. ",https://archive.org/details/historyoftrauayl00angh
Cyromandel,"Negapatam, India",10.7672,79.8449,Lewes Vertomannus,1503,"THe citie of Cyromandel is by the sea syde, and distant from the citie of Colon seuen daycs saylyng. The citie is very large, but without walles : it is subiecte to the kyng of Narsinga, and is within the syght of the Iland of Zaylon. After that you are past the poynt of Comerin, the soyle beareth plentie of Ryse. This citie is in the way to diuers great regions and cities: it is inhabited with innumerable Mahumetans mer-chantes, resortyng thyther from many countreys. There are no spyces, but aboundaunce of fruite, as in Calecut.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 2. Pg. 396. ",https://archive.org/details/historyoftrauayl00angh
Ilande of Zailon,Sri Lanka,6.9271,79.8612,Lewes Vertomannus,1503,"IN this Ilande are foure kynges of great dominion, by reason of the largenesse of the Ilande. But because of the warres among them at my beyng there, I could not tarye long to haue particular knowledge of the region and maners of the people. There are in the Ilande many Elephantes. There is also a very long mountayne, at the foote whereof, are founde many precious stones, named Piropi, commonly called Rubines, or Rubies... Not farre from the sayde mountayne, are founde diuers other sortes of precious stones, as Iasynthes, Saphires, To-pases, and suche lyke. Harde by the mountayne, runneth a a great ryuer. The soyle bryngeth foorth the sweetest fruites that euer I sawe, especially cloues, and apples of Assiria, of excee-dyng sweetnesse, and all other, as in Calecut.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Pg. 397. ",https://archive.org/details/historyoftrauayl00angh
Tarnassari,"Tanintharyi, Myanmar",12.0896,99.0115,Lewes Vertomannus,1503,"THIS citie is not farre from the sea, and situate on on a meetly equall grounde, well walled, hauyng also a famous porte, and a very fayre ryuer runnyng on the North syde of the citie... Theyr houses are walled, and continent in order as ours are. The region bryng-eth foorth wheate, bombasine, sylke of sundrye kindes of colours, Brasile, snd sundrye kyndes of fruites, muche lyke vnto ours. Also apples of Assiria, Oranges, Limons, Citrons, Gourdes, Cucumbers .etc.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 6. Pg. 398. ",https://archive.org/details/historyoftrauayl00angh
Pego,"Bago, Myanmar",17.3221,96.4663,Lewes Vertomannus,1503,"THe citie of Pego, is not farre from the sea, and is situate vppon the continent or fyrme lande. A very fayre ryuer runneth by the citie, by the which merchandies are caried to and fro... The citie is walled and the houses well buylded, and very fayre, of stone and lyme... Here are also trees for buyldyng, and to make shyppes, the fayrest that euer I sawe : Also exceedyng great Reedes, as byg as the bodie of a grosse man, or a tubbe.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 15. Pg. 401. ",https://archive.org/details/historyoftrauayl00angh
Melacha,"Malacca, Malaysia",2.1896,102.2501,Lewes Vertomannus,1503,"WITHIN two dayes after, taking ship, we sailed westwarde towarde the citie of Melacha, and arryued there in eight dayes saylyng. Not farre from this citie, is a famous ryuer named Gaza, the largest that euer I sawe, conteyning .xxv. myles in breadth. On the other syde, is seene a very great Ilande, whiche they call Sumetra, and is of old writers named Taprobana. The inhabitauntes say that it conteyneth in circuite fyue hundred myles.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 17. Pg. 403. ",https://archive.org/details/historyoftrauayl00angh
Sumatra,Sumatra,-0.5897,101.3431,Lewes Vertomannus,1503,"WE haue sayd here before that the Ilande of Suma-tra, conteyneth in circuite fyue hundred myles. The citie where we fyrst arryued in the Iland, is named Pider, hauyng a very fayre port. I beleeue veryly this Ilande to be Taprobana, as also most autours do agree.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 18. Pg. 404. ",https://archive.org/details/historyoftrauayl00angh
Bandan,Banda Islands,-4.5543,129.9299,Lewes Vertomannus,1503,"IN this voyage to the Ilande of Bandan we founde about .xx. Ilandes, some inhabited, and some desarte. This Ilande is very saluage, barren, and very lowe, and conteyneth a hundred myles in circuite. It hath neyther kyng nor gouernour, but is inhabited with a rascall and beastly kynde of men, lyuyng without law, order, or gouerment. They haue lowe houses, or rather cotages of wood, rysyng but litle from the ground...The soyle beareth no fruites, excepte onely Nutte- megges : the bodye of the Nuttemegge tree, is lyke to the bodye of a Peache tree, and hath lyke branches and leaves, but the leaues are somewhat narower. Before these Nuttes come to rypenesse, the Mace florysheth lyke vnto a redde rose : but when the Nutte waxeth rype, the Mace closeth it selfe and embraseth the Nutte and shel, and are so geathered togeather with-out order or distribution, by scamblyng, catche that catche may, for that al things y are there common. The tree yeeldeth fruite of his owne fruitefulnesse, without graffyng or cuttyng, or any other art.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 23. Pg. 414. ",https://archive.org/details/historyoftrauayl00angh
Monoch,"Maluku Islands, Indonesia",-3.2385,130.1453,Lewes Vertomannus,1503,"THIS Ilande is very narowe, yet in length exceedeth the Ilande of Bandan...This Ilande bryngeth foorth Cloues, as do also many other litle and desolate Ilandes lying about it. The body of this tree, is not much vnlyke the Boxe tree, and hath leaues lyke vnto the Cinamome tree, but rounder, and almost lyke the Bay Ieafe. When they waxe rype, the inhabitauntes beate them downe with reedes, laying fyrst mattes vnder the trees. The grounde is sandie, and the region so low vnder the Horizon, that the North starre can not be seene there. They sell Cloues for the double price that Nutmegs are solde, & sel them by measure : for they are vtterly without know-ledge of weyghtes.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 24. Pg. 414. ",https://archive.org/details/historyoftrauayl00angh
Gyaua,"Java, Indonesia",-7.6145,110.7122,Lewes Vertomannus,1503,"THERFORE proceeding on our iourney fyue dayes saylyng we came to the sayde Ilande, beyng very great & large, and hauyng in it many kyndomes, and kynges...This Ilande bryngeth foorth sylke, whiche groweth of it selfe in the wooddes, and also the fayrest Smaragdes or Emeraldes that are in the world: there is like-wyse plentie of Golde, and Copper. The soyle is fruitefull of Corne, and all sortes of fruites, as in the citie of Calecut.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 27. Pg. 408. ",https://archive.org/details/historyoftrauayl00angh
Ilande of Monzambrich,"Island of Mozambique, Monzambique",-15.0364,40.7323,Lewes Vertomannus,1503,"THis Ilande (as we haue sayde) is subiecte to the kyng of Portugale, as is also Zaphala. From the Ilande of Mon-zambrich, is brought much golde and oyle, but is brought thyther from the firme lande. The Ilande is not byg, and is inhabited with blacke Mahumetans, lyuyng in maner in necessitie of all thinges, yet hath it a commodious porte.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 3. Pg. 419. ",https://archive.org/details/historyoftrauayl00angh
Ilande of Ascention.,Ascension Island,-7.9467,-14.3559,Lewes Vertomannus,1503,"Shortly after we founde an Ilande, named the Ilande of Ascention, where we sawe many fowles, about the byggnesse of our Duckes, so symple, without suspicion or feare, that we tooke them with our handes: but shortly after they were taken, they shewed an incredible fiercenesse. I thynke veryly that they neuer sawe any man before, they so behelde vs before they were taken, and were as styll as if they had ben astonyshed: For in that Ilande we sawe no lyuyng creature, saue only innumer-able fyshes and the sayd byrdes. After we had passed this Ilande many dayes saylyng, as though we were nowe come to our owne worlde, the North starre, and guardions of our maryners, appeared vnto vs.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 4. Pg. 421.",https://archive.org/details/historyoftrauayl00angh
Ilandes of Astures,Azores Islands,37.7412,-25.6756,Lewes Vertomannus,1503,"A fewe dayes after, we arryued at the fayre region, where are seene many I-landes, named the Ilandes of Astures, so named for the multitude of those Egles whiehe we commonly call Astures. These I-landes are diuersely named : for some are named Pici, Martii, some, Dè Coruo : also De Floribus, Sancti Georgii, Gratiosa, and Feial. Departyng from hence, we came to the Ilande of Tertiera, where we remayned two dayes. All these Ilandes are maruey-lous fruitefull, and haue plentie of all thynges necessary for mans lyfe. Departyng from hence, in seuen dayes saylyng, we came to the goodly citie of Luxburne, or Vlisbona in Portugale.","Lewes Vertomannus, “The Nauigation and Vyages of Lewes Vertomannus... to Regions of Arabia, Egypte, Persia, Syria, Ethiopia, and East India,” in The History of Trauayle in the Vvest and East Indies: And Other Countreys Lying Eyther Way Towardes the Fruitfull and Ryche Moluccaes: As Moscouia, Persia, Arabia, Syria, Aegypte, Ethiopia, Guinea, China in Cathayo, and Giapan: Vvith a Discourse of the Northwest Passage, ed. Pietro Martire d’Anghiera, trans. Richard Eden (London: Richarde Lugge, 1577), Cap. 4. Pg. 421.",https://archive.org/details/historyoftrauayl00angh
"Eboe, Guinea","South South or South East, Nigeria",5.572,7.0588,Olaudah Equiano,1756,"In our buildings we study convenience rather than ornament. Each master of a family has a large square piece of ground, surrounded with a moat or fence, or enclosed with a wall made of red earth tempered; which, when dry, is as hard as brick. Within this are his houses to accommodate his family and slaves; which, if numerous, frequently present the appearance of a village. In the middle stands the principal building, appropriated to the sole use of the master, and consisting of two apartments; in one of which he sits in the day with his family, the other is left apart for the reception of his friends. ","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. I.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
Barbadoes,Barbados,13.1939,-59.5432,Olaudah Equiano,1756,"At last we came in sight of the island of Barbadoes, at which the whites on board gave a great shout, and made many signs of joy to us. We did not know what to think of this; but as the vessel drew nearer we plainly saw the harbour, and other ships of different kinds and sizes; and we soon anchored amongst them off Bridge Town... We were conducted immediately to the merchant's yard, where we were all pent up together like so many sheep in a fold, without regard to sex or age. As every object was new to me every thing I saw filled me with surprise. What struck me first was that the houses were built with stories, and in every other respect different from those in Africa: but I was still more astonished on seeing people on horseback. ","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. II.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
"Falmouth, England","Falmouth, England",50.1526,-5.0663,Olaudah Equiano,1757,"It was about the beginning of the spring 1757 when I arrived in England, and I was near twelve years of age at that time. I was very much struck with the buildings and the pavement of the streets in Falmouth; and, indeed, any object I saw filled me with new surprise. One morning, when I got upon deck, I saw it covered all over with the snow that fell over-night: as I had never seen any thing of the kind before, I thought it was salt; so I immediately ran down to the mate and desired him, as well as I could, to come and see how somebody in the night had thrown salt all over the deck.","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. III.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
Teneriffe,"Tenerife, Spain",28.2916,-16.6291,Olaudah Equiano,1758,"We then steered for America; but, by contrary winds, we were driven to Teneriffe, where I was struck with its noted peak. Its prodigious height, and its form, resembling a sugar-loaf, filled me with wonder.","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. III.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
"St. George, Halifax","Halifax, Nova Scotia",44.6535,-63.5827,Olaudah Equiano,1758,"We remained in sight of this island some days, and then proceeded for America, which we soon made, and got into a very commodious harbour called St. George, in Halifax, where we had fish in great plenty, and all other fresh provisions.","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. III.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
Louisbourgh,"Fortress of Louisbourg, Île Royale, Nova Scotia   ",45.91949632,-59.96882946,Olaudah Equiano,1758,"Our land forces laid siege to the town of Louisbourgh, while the French men of war were blocked up in the harbour by the fleet, the batteries at the same time playing upon them from the land. This they did with such effect, that one day I saw some of the ships set on fire by the shells from the batteries, and I believe two or three of them were quite burnt... At last Louisbourgh was taken, and the English men of war came into the harbour before it, to my very great joy; for I had now more liberty of indulging myself, and I went often on shore. When the ships were in the harbour we had the most beautiful procession on the water I ever saw. All the admirals and captains of the men of war, full dressed, and in their barges, well ornamented with pendants, came alongside of the Namur. The vice-admiral then went on shore in his barge, followed by the other officers in order of seniority, to take possession, as I suppose, of the town and fort. Some time after this the French governor and his lady, and other persons of note, came on board our ship to dine. On this occasion our ships were dressed with colours of all kinds, from the topgallant-mast head to the deck; and this, with the firing of guns, formed a most grand and magnificent spectacle.","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. III.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
Gibraltar,"Gibraltar, British Overseas Territory",36.1408,-5.3536,Olaudah Equiano,1759,"We only waited for the arrival of the admiral, who soon came on board; and about the beginning of the spring 1759, having weighed anchor, and got under way, Sailed for the Mediterranean; and in eleven days, from the Land's End, we got to Gibraltar. While we were here I used to be often on shore, and got various fruits in great plenty, and very cheap.","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. IV.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
Barcelona,"Barcelona, Spain",41.3874,2.1686,Olaudah Equiano,1759,"After we had cruised here for a short time, we came to Barcelona, a Spanish sea-port, remarkable for its silk manufactures. Here the ships were all to be watered; and my master, who spoke different languages, and used often to interpret for the admiral, superintended the watering of ours. For that purpose he and the officers of the other ships, who were on the same service, had tents pitched in the bay; and the Spanish soldiers were stationed along the shore, I suppose to see that no depredations were committed by our men.","Olaudah Equiano, The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African (London, 1789), Ch. IV.",https://www.gutenberg.org/files/15399/15399-h/15399-h.htm
