PlaceName,PlaceNameModern,Latitude,Longitude,NameOfTraveler,YearOfTravel,Description,Citation,Hyperlink,Country,Country,Region,Region,Continent
"Brunswick, North Carolina",Brunswick Town/Fort Anderson State Historic Site,34.03979,-77.94618,Alexander Schaw,1775,"The town of Brunswick, which is indeed but a straggling village, is twelve miles within the bar. At low water there is ten feet of water upon the bar; at spring tides there is from 19 to 20 feet, so that in fine weather ships of deeper draught can easily go in. The water, both below and above the flats is deep enough for any vessel. Vessels can run from the bar to Brunswick in three or four hours with the tide, with almost any wind.","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies,  North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 281.",https://archive.org/details/journalofladyofq00schaiala,United States,,Northern America,,North America
"Brunswick, North Carolina",Brunswick Town/Fort Anderson State Historic Site,34.03979,-77.94618,Alexander Schaw,1775,"There is good anchorage within half a musket shot of the town. The bank is pretty high for this country and the woods are cut down a good way round the town. This is the only town on the west side of the river. Brunswick county is thinly settled, consequently cattle and horses are few.","Janet Schaw, Journal of a Lady of Quality; Being the Narrative of a Journey from Scotland to the West Indies,  North Carolina, and Portugal, in the Years 1774 to 1776, ed. Evangeline Walker Andrews and Charles McLean Andrews (New Haven, CT: Yale University Press, 1921), 282.",https://archive.org/details/journalofladyofq00schaiala,United States,,Northern America,,North America
"Shin yang, or Mugden, China","Shenyang, China",41.8057,123.4315,"Jean-Baptiste Du Halde, ed.",,"The first is that of Shin yang , called by the Manchews, Mugden ; it contains all the ancient Lyau tong , and is bounded on the South by the Great Wall, which begins Eastward of Pe-king, by a great Bulwark built in the Ocean; on the East, Northland Welt, it is inclosed only by a wooden Palisade, seven or eight Foot high, and more fit to mark its Bounds, and keep out petty Rob-bers, than to oppose an Army : The Gates are no better, and guarded only by a few Soldiers. The Chinese Geographers have given the Name of Wall to this Palisade , which has occasion’d the Province of Lyau tong to be erroneously placed in some of our Maps, within the Great Wall.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 244.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
"Pe-king, China","Beijing, China",39.9042,116.4074,"Jean-Baptiste Du Halde, ed.",,"Not far from the Gates of this City are two magnificent Burying-Places of the first Princes of the reigning Family, who took the Title of Emperor from their beginning to reign in Lyau tong. One is of the Emperor’s Grandfather, and the other of his Great Grandfather: They are built according to the Chinese Architecture; but, what is singular, are inclosed by a thick Wall with Battlements, and are somewhat lower than that of the City: Several Manchew Mandarins of all Ranks are appointed to take care of them, and at set Times to perform certain Ceremonies, in which they observe the same Marks of Respect as if the Princes were still living.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 244.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Point of San cha ho,Border between China and North Korea,40.89743,125.73027,"Jean-Baptiste Du Halde, ed.",,"Pursuant to this Rule, we shall say nothing of the Point of San cha ho , so much taken Notice of by Chinese Authors ; it is no more than a Concourse of three ordinary Rivers, which unite in this Place, and under that common Name discharge themselves into the Sea, but is far from being a Novelty. The Lands of this Province are in general very good, producing Plenty of Wheat, Millet, Roots, and Cotton; they also feed Numbers of Sheep and Oxen, which are rarely seen in any of the Provinces of China. They have little Rice, but plenty of Apples, Pears, Nuts, Filberds, and Chesnuts, even in their Forests. The Eastern Part, which borders on the ancient Country of the Manchews and the Kingdom of Korea , is full of Desarts and Boggs...","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 245.",https://archive.org/details/descriptionofemp00duha,China, North Korea,Eastern Asia,,Asia
Cities around the River Songari,"Near Harbin, China",45.79099,126.57407,"Jean-Baptiste Du Halde, ed.",,"This Country is but thinly peopled, and has only three Cities, very ill built, and encompassed with Mud-Walls. The Chief of them is situated on the River Songari , there called Kirin ula , whence it takes it Name ; for Kirin ula botun signifies, the City of the River Kirin. Here resides the Manchew General, who has all the Privileges of a Viceroy, and commands all the Mandarins as well as the Troops.
The next much inferior, called Pedne or Petune , stands on the same River, 45 Leagues almost N. W. from Kirin ula hotun ; it is inhabited mostly by Tartarian Soldiers, under a Lieut. General, and by Exiles.
The other City, which the reigning Family considers as its ancient Patrimony, is situated on the Hurka pira , which runs North into the Songari ula: It is commonly call’d Ninguta , tho its proper Name be Ningunta ; for these two Tartarian Words, signifying seven Chiefs , are expressive of the Rife of their Kingdom, which was first established by the seven Brothers of the present Emperor’s Great Grandfather’s Father ; who, having found means to settle them with all their Families in this Place, soon made himfelf obey’d, thro’ Fear or Love, by the rest of his Nation, which was at that Time disperfed in the Desarts that extend to the Eastern Ocean, and divided into little Hamlets, each of one Family.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 245.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Along the Riven Tumen,"Tumen River, Border between China and North Korea",42.99121,129.87918,"Jean-Baptiste Du Halde, ed.",,"Extent of the Territories of these Quel ka Ta tse , whose Country is in other Respects agreeable enough, and, what is very uncommon among Tartars, well cultivated, whether it be owing to Necessity, on ac-count of their Distance from the Monchews, (the nearest of whom are 40 Leagues off, and the Road very bad) or the Example of the Koreans , whose very Hills are cut into Stories, and cultivated to the Top.
It was a new Sight to us, after we had crossed fo many Forests, and coasted so many frightful Moun-tains, to find ourselves on the Banks of the River Tu men ula, with nothing but Woods and wild Beast on one Side, while the other presented to our view of all that Art and Labour could produce in the best cultivated Kingdoms. We there saw wall’d Cities, and placing our Instruments on the neighbouring Heights geometrically determined the Situation of four of them, which bounded Korea on the North.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 246.",https://archive.org/details/descriptionofemp00duha,China, North Korea,Eastern Asia,,Asia
Furdan Hotun,"Ussuriysk, Russia",43.8015,131.9405,"Jean-Baptiste Du Halde, ed.",,"The Koreans had built a strong Wall on the Bank opposite to the Tartars , almost like that on the North of China ; but the Part towards Hon chun was quite ruin’d when the Manchews ravaged Korea, which they made their first Conquest ; in Parts more remote it continues almost entire. Beyond the Tu men ula, in our Progress into the ancient Country of the Manchews, we came to a River called Suifond pira the Latitude of which we took at its Fall into the Eastern Ocean ; it is very famous among these Tartars tho’ it scarce deserves Notice. Here we saw the Ruins of a City called Fûrdan botun , accounted once perhaps a fine Place, being situated in an open Plain fit for Tillage: It has only a slight Mud Wall defended by a shallow Ditch. The other Rivers of this Country are much less considerable than Suifond pira, whence doubtless proceeds the Esteem which the ancient Manchews still retain for it.
","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 246.",https://archive.org/details/descriptionofemp00duha,Russia,,Eastern Asia,,Asia
City of Tsitsikar,"Quiqihar, China",47.3543,123.9182,"Jean-Baptiste Du Halde, ed.",,"The City of Tsitsikar is inclosed with a strong Palisade, not very high, but lin’d with a pretty good Rampart. The Garrison consists chiefly of Tartars , but the Inhabitants are moftly Chinese, drawn thither by Traffic, or banished for Crimes. The Houses of both are without the wooden Wall, which incloses little besides the Courts of Justice, and Palace of the Tartar General ; they are built of Earth, ranged into pretty wide Streets, and inclosed with a Mud Wall.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 248.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Merghen City,"Nenjiang, China",49.1858,125.2212,"Jean-Baptiste Du Halde, ed.",,"Merghen is above 40 Leagues from Tsitsikar, much thinner of People, and inclosed with a single Wall. The Lands belonging to the last Cities are but indifferent, being a sandy Soil. But those of Saghalian ula hotun yield good Crops of Wheat, being a Plain extending along that fine River [Saghalian] and containing several Villages: The City itself, which stands on the South Side, is built like Tsitsikar, is equally populous, and richer in Commodities.
About 13 Chinese Li higher, on the North Side, are the Ruins of an ancient City called Aykom, built by the first Emperors of the preceding Family, Tay Ming...","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 248.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Puir Lake,"Buir Lake, Mongolia",47.93871,117.81598,"Jean-Baptiste Du Halde, ed.",,"But of all the Mongu Nations, depending on the Emperor, the most numerous and celebrated are the Kalkas, who possess above 200 Leagues of the Country from East to West, and the Banks of the finest Rivers in this Part of Tartary. The Kalka pira , whence they take their Name, is not much frequented by them: It flows from a famous Mountain, call’d Suelki, or Siolki, 84 Leagues from Parin, and 64 from Tstitsikar: They pretend it gives Rise to several other Rivers, but no way considerable. After passing thro' a Lake called it Puir, changes its Name to Urjon , and runs directly North into a larger, named Kûlon nor. ..The Kerlon, which is not deep, being almost every where fordable, of a sandy Bottom, good Water, and about 60 common Feet in Breadth, washes the richest Pastures in all Tartary. On the Northern Ruins of Banks are the Ruins of a large City, inserted in the Emperor’s Map, where we distinguish Cities of that kind by little uncolour’d Squares.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 250.",https://archive.org/details/descriptionofemp00duha,Mongolia,,Eastern Asia,,Asia
"Tobolskoy, Siberia","Tobolsk, Russia",58.2,68.25173,"Jean-Baptiste Du Halde, ed.",,"In travelling from hence to Tobolskoy (M), the Capital of Siberia and Northern Tartary, you meet fre-quent Villages, where are commodious Lodgings ; but in travelling from Selingha Southwards, till you come almost to the Great Wall, you are obliged to lodge and diet after the Tartarian Manner.
The Waters of the Twi pira are clear and healthful, like those of the Kerlon ; it also waters as fertile; Plains as those in the Neighbourhood of the Pula, and after a pretty long Course loses itself in the Ground near a little Lake, without rising or appearing any more.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 251.",https://archive.org/details/descriptionofemp00duha,Russia,,Eastern Asia,,Asia
Hami,"Hami, Xinjiang, China",42.95293,93.45101,"Jean-Baptiste Du Halde, ed.",,"The Country of Hami, called in our Maps the Kingdom of Hami , contains only one small City of the same Name ; but is full or Houses, and a few Villages, as described in the Map. It is 90 Leagues from the Gate of the Great Wall call’d Kya yu kew, and has Lands enough round it, yet extends no farther, because that whole Space is nothing but a dry Sand, and the most barren of all Tartary. The Chinese commonly call this Desart Sha mo, and fometimes Kan hay , i. e. a Sea of Sand , and the Tartars call it Kobi : It has neither Grass nor Water ; Travellers frequently lose their Horses in crossing it...","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 253.",https://archive.org/details/descriptionofemp00duha,China,,Central Asia,,Asia
"Merghen, or Merghin","Nenjiang City, China",49.1858,125.2212,"Jean-François Gerbillon, S.J.",1688,"These Tartars live in Huts on the Banks of Rivers, and subsist by Hunting and Fishing, especially the more Eastern Inhabitants, who are somewhat rude and barbarous. The Country is divided into Provinces the most Western is Solon, by the Ruffians call’d Dawra , which is rather the Name of a Nation than a Country. It begins at the Confluence of the Ergonê and Saghalian ula, along which latter it extends above 150 Leagues towards Ningûta. The Governor told me there were not above 10,000 Families in the Pro-vince. They are great Hunters, dextrous Archers, and pay their Tribute in Sable-skins, each Family two, three, or more a Year, according to the Number of able Persons.
In the whole Country there is but one Town, called Merghen, or Merghin, built and garrison'd by the Emperor ; every where else are nothing but Huts. The Ruffians indeed had a Fortress here, which they called Albazin, and the Tartars Takfa, from a little River on which it stood where it runs into the Saghalian ula. This Fortress occafion’d the War between the Emperor and the Ruffians, the Garrison disturbing the Chinese Sable-Hunters ; but at length the Fort was demolish’d, and the Country yielded to the Emperor by the Treaty of Nipchu.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 256.",https://archive.org/details/descriptionofemp00duha,China,,Central Asia,,Asia
Putala Mountain,"Potala Palace, Tibet, China",29.6555,116.4074,"Jean-François Gerbillon, S.J.",1688,"Putala is the Mountain on which stands the Palace, or, if you will, the Pagod, where the Grand Lama resides. At the Bottom runs a pretty large River, called Kaltju mûren ; mûren, in the Mongol Language, signifying a River. At the Middle of the Mountain is the Pagod erected to seven Stories, in the highest of which the Lama lodges. By the Side are the Ruins of Tsanpa 's royal City, destroy’d by Kushi han King of the Eluths. The People dwell in small Towns and Villages, and live by Agriculture.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 258.",https://archive.org/details/descriptionofemp00duha,China,,Central Asia,,Asia
Kalkas,Eastern Mongolia,47.89488,112.85775,"Jean-François Gerbillon, S.J.",1688,"The second Sort of Mongols are the Kalkas, who lie contiguous to the Eluths on the East. Their Country, from East to West, extends from Mount Altay to the Province of Solon ; and, from North to South, from 50° and 51° to the Southern Extremity of the great Desart Sha mo, which is reckon’d to belong to them, they encamping there, during Winter, when they stand in less Need of Water, which is rarely to be met With, and is generally bad. This Desart bends about China and is larger and more frightful towards the West ... From East to the Mountains beyond the Great Wall it is about 100 Leagues, not comprehending the Mountains to the North of the Great Wall ; for tho they are in a manner uninhabited the Soil is good, there are fine Pastures, Woods, Sprint, and Rivulets of good Water in abundance. Nor do I take in the Country beyond the Kerlon, abounding with Water and Pasturage, tho thinly inhabited, especially the Western Part. The Desart is much larger from North to South, and above 100 Leagues over, in some Parts quite bare, without Trees, Grass, or Water except some Ponds and Marshes made by the Rains, and here and there a Well of Water bad enough.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 259.",https://archive.org/details/descriptionofemp00duha,Mongolia,,Central Asia,,Asia
"Tolbok, or Tobolsky, Siberia","Tobolsk, Russia",58.2,68.25173,Ferdinand Verbiest,,"Tolbok, or, as the Ruffians call it, Tobolsky, is a large city, or great Trade, the Capital of Siberia, and main Staple of Furrs. The Lands adjacent abounf with all sorts of Grain, Herbs, and Fruits…It is about the Bigness of Orleans, situate on a high Mountain, at the Foot of which runs the great RIver Irtis, and the little River Tobolk, which names the Place, and here runs into the Irtis.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 262.",https://archive.org/details/descriptionofemp00duha,Russia,,Central Asia,,Asia
,"Lake Baikal, Russia",53,107.48658,Ferdinand Verbiest,,"The Lake Paykal is near 100 Leagues in Length from Outhwest to Northwest, but scarce more than ten in Breadth, It is very deep, well stock'd with Fish, and almost surrounded with Hills: The Lands on the South of these Hills are of a good Soil, and cultivated in several places by the Ruffians, the People of the Country understanding no Tillage: Wheat and Oats grow very well there.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 262.",https://archive.org/details/descriptionofemp00duha,Russia,,Eastern Asia,,Asia
Nan kew ching,"Nankoucun, Beijing, China",40.25288,116.12622,"Jean-François Gerbillon, S.J.",1688,"We began with passing the Fortress which shuts up the Entrance of the Mountains. The Walls of this Fortess are bult with Free-stone to the Height of four Feet, and afterwards with large Flints and Rock Stones up to the Battlements, which are of Brick : They are about 35 Foot high, and six or seven thick at the narrow Pass of the Mountains ; but where they stretch on both Sides upon the Rocks (which are so steep that the Goats can scarce climb them) they are neither high nor thick, and indeed are altogether useless there...","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 274.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Near Nan kew ching,"Beijing Badaling National Forest Park, China",40.35817,116.00949,"Jean-François Gerbillon, S.J.",1688,"Having march’d about 45 Li between these Mountains, we descended into a barren and sandy Plain, and encamp’d 30 Li from the Pasage out of the Hills, by a Rivulet in the midst of a Valley, which in that Place was about three or four Leagues wide. At the Foot of the Mountains, to the right and left, we saw several little Forts and Towers, some of Brick, others of Earth, about 7 or 800 geometrical Paces asunder, besides two or three larger ones, built probably to prevent the Tartars from penetrating to Pe-king, in case they should surprise the first inclosure of the Great Wall.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 274.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Swen wha fu,"Zhangjiakou, China",40.7665,114.87534,"Jean-François Gerbillon, S.J.",1688,"At the End of this Plain stands the City of Swen wha fu, which is pretty large and very populous ; it is not far from the Yang ho, and hath a double Suburb, inclos’d by Brick Walls, strengthened with Towers pretty near each other ; we crossed one Street as large as most of the great Streets of Pe-king, running the whole Length of the City and full of wooden Triumphal Arches, not above ifor 20 Paces asunder ; there are three Gates at each End of the City, with Places of Arms between. The Walls are more than 30 foot high, and the Folding-doors of the Gates are cover’d with thin Plates of Iron, strengthened by Nails with Heads as big as Eggs. The North Suburb hath one very long and wide Street, with Trees planted in Rows on both sides, which have a very agreeable Effect. The whole Country round is tilled, and the Soil good.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 275.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
River Imatu,Likely Dahei River,40.92478,112.50957,"Jean-François Gerbillon, S.J.",1688,"The Rivulet upon which we had encamped runs also along this Road, and winds continually in the Valleys between these Mountains, at least I suppose it the same, but am not certain. We crossed it more than ten or twelve times, for it cuts the great Road, and encamped again on its Banks : It is called Imatu. The Mountains between which we passed, great part whereof are steep Rocks, were pretty full of Shrubs : We found some also in the Valleys, but none of any tolerable Bigness, neither did we see any tilled Land, tho’ there were many small Meadows on the Bank-side, abounding with excellent Pasture. The Air was very mild all the Morning ; but as soon as we enter’d among the last Mountains, we found a pretty strong North-west Wind, and towards Noon, when we began to encamp, we had some Drops of Rain, after which it became very hot, till there rose a high Wind at West North-west, which allayed the Heat.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 278.",https://archive.org/details/descriptionofemp00duha,,,Eastern Asia,,Asia
"Octogon Tower, Hokhokol (or Korkokol) Plain","near Hohhot, Mongolia",40.83746,111.71931,"Jean-François Gerbillon, S.J.",1688,"This Plain is cultivated in many Places, and here and there are Hamlets of seven or eight little Houses of Earth. After we had travelled in it about 40 Li, we passed near a Tower, built, as they assured me, 400 Years ago : It is still pretty entire, except the Roof, which is ruinous, and the Foundation begins also to decay. It is a regular Octogon with eight Stories, each ol eleven Foot at least, besides the first, which exceeds fifteen without the Coping, so that the whole Height is 100 Foot. This Tower is all of Brick as white as Stone, and well built ; it is embellish’d with several Ornaments of Brick-Work, and a fort of Plaister laid thereon. Its Architecture is quite different from ours, and tho' a little rude, has its Beauty, and pleases the Eye : The first Story is round, and shaped like a Cup, adorn-ed with Foliages ; the rest have eight Fronts, in each of which are two Statues in Demi -Relief, near as big as the Life, but ill done. You go up to the first Story by a Ladder, and there the Staircafe begins. Here probably stood a City, or large Town, for there still remains a wide Compass of Mud Walls, which, tho’ more than half demolish’d, are entire enough to shew that the Tower was built by the Western Tartars , whilst they reign’d in China , under the Family of the Ywen.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 278.",https://archive.org/details/descriptionofemp00duha,Mongolia,,Eastern Asia,,Asia
Kalkas,"Inner Mongolia, China",41.48197,106.90992,"Jean-François Gerbillon, S.J.",1688,"The 30th we advanced 75 Li, the first 20 due North, and the rest North North-west, along continued Plains, separated only by small Eminences. The Soil consists of a firm Sand, mixed in some Places with a little Earth : The Country grew more and more desart and barren, affording no good Pasture for the Cat-tle and we saw but one Tree. About 40 Li from whence we fet out we found some Wells with a little Water, and some Grass about them: We saw several Herds of Deer, and Flocks of Partridges on the Plains, especially near the Place where we encamp’d, which was at the Foot of some Hillocks that bound the Plain.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 282.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Kalkas,"Inner Mongolia, China",41.85292,106.3314,"Jean-François Gerbillon, S.J.",1688,"we marched 65 Li to the North-west, all through great Plains interspersed here and there with little Eminences, and the Country more and more desart and barren, consisting almoft wholly of burning Sands sometimes firm and sometimes loose, without Tree, Water or Pastures. Just as we had decamp’d we found abundance of those Stones of Rock and Sand condensed, full of yellow Spangles, and glittering like Gold. We saw great Numbers of Deer in these Plains, three of which our People kill’d, and could have killed more if they had not been afraid of fatiguing their Horses. Partridges likewise are here in Plenty : We saw great Coveys between the Heights. Having passed the Hills we encamp’d in a small Plain, which being nothing but Sand, the Heat was intolerable. We had no Water but what we drew out of Pits ; and tho’ it was very good, yet as there was no Pasture, the Cattle suffer’d much. It was very hot all Day, only a little Wind stirred now and then : In the Evening, we had a great Storm, and another towards Midnight, with Rain and Thunder.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 282.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
River Kurkir,"Luan River, China",41.94085,116.65587,"Jean-François Gerbillon, S.J.",1689,"The 20th we travelled 50 Li to the North, all the way among Mountains like the former, only these and those we met with Yesterday were cover’d with Pines, whereas the others bore several other forts of Trees, as Oaks, etc. besides Pines. The Valleys which we crossed are full of good Forage, and watered, by Rivu-lets and the Lan ho, or the Kurkir : This last River rises in Mount Pe cha, and after running a confiderable Way S. W. and S. at the Rounding of these Mountains, falls into the Lan ho. We encamped by the Kurkir, in a Valley of good Forage, about three Quarters of a League wide. This River is every where fordable, like the Lan ho, and we crossed it several times in our way.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 302.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
Turghen iskar,"Luan River, China",42.33219,116.472,"Jean-François Gerbillon, S.J.",1689,"The 22d we marched 60 Li, N.N W. in a Country quite open, and pretty level ; to our Right and Left were little Hills, very open also, and naked, with only here and there a Tree. The Plain was for the most part stored with good Forage, and yet thin of Inhabitants. We encamped in a Place called Turghen iskar, on the Banks of a little River called Iskiar, which rises in Mount Pe cha, and having run for some time to the S.W. falls into the Lan ho. This latter rises in the same Mountain, and after it has run first W. next S.W. and then S. returns at length to the E. and S.E. and being enlarged with several other Streams, empties it-self into the Eastern Sea. We found in the Meadows near the River [ Iskiar ] a Spring of excellent fresh Wa-ter.","J.-B. Du Halde, A Description of the Empire of China and Chinese-Tartary: Together with the Kingdoms of Korea, and Tibet : Containing the Geography and History (Natural as Well as Civil) of Those Countries. Enrich’d with General and Particular Maps, and Adorned with a Great Number of Cuts. (London: Printed by TGardner in Bartholomew Close for Edward Cave, 1738), 302.",https://archive.org/details/descriptionofemp00duha,China,,Eastern Asia,,Asia
